2527 3
1476858905.235449 -1.005027 37.615132
1476858906.274810 -1.005143 37.615077
1476858907.315274 -1.005143 37.615077
1476858908.354777 -1.005373 37.614967
1476858909.394546 -1.005490 37.614910
1476858910.433833 -1.005490 37.614910
1476858911.473544 -1.005723 37.614795
1476858912.527034 -1.005843 37.614740
1476858913.565108 -1.005843 37.614740
1476858914.605387 -1.006082 37.614632
1476858915.645920 -1.006082 37.614632
1476858916.685336 -1.006198 37.614575
1476858917.725002 -1.006432 37.614465
1476858918.764851 -1.006432 37.614465
1476858919.805256 -1.006548 37.614405
1476858920.855814 -1.006865 37.614250
1476858921.895088 -1.006865 37.614250
1476858922.935340 -1.006958 37.614205
1476858923.974826 -1.007123 37.614143
1476858925.015417 -1.007123 37.614143
1476858926.061448 -1.007220 37.614135
1476858927.105390 -1.007275 37.614142
1476858928.146279 -1.007275 37.614142
1476858929.199272 -1.007417 37.614145
1476858930.235653 -1.007498 37.614135
1476858931.275784 -1.007498 37.614135
1476858932.315166 -1.007632 37.614062
1476858933.356028 -1.007672 37.614002
1476858934.395251 -1.007672 37.614002
1476858935.435981 -1.007742 37.613873
1476858936.476650 -1.007802 37.613820
